year,Values
1998,-1725
1999,-12535
2000,-20134
2001,-13293
2002,13289
2003,25604
2004,24153
2005,21106
2006,18685
2007,18004
2008,48360
2009,111959
2010,106623
2011,88661
2012,94511
2013,80403
2014,70360
2015,51481
2016,32174
2017,8118
2018,6927
2019,8297
2020,203893
2021,112469
2022,71255
1997 Q2,11179
1997 Q3,5363
1997 Q4,-2985
1998 Q1,-7744
1998 Q2,9256
1998 Q3,394
1998 Q4,-3631
1999 Q1,-11255
1999 Q2,6299
1999 Q3,-2534
1999 Q4,-5045
2000 Q1,-15320
2000 Q2,-3052
2000 Q3,-4594
2000 Q4,2832
2001 Q1,-15118
2001 Q2,-832
2001 Q3,-3894
2001 Q4,6551
2002 Q1,-7820
2002 Q2,8069
2002 Q3,2975
2002 Q4,10065
2003 Q1,-2368
2003 Q2,10358
2003 Q3,7304
2003 Q4,10310
2004 Q1,-5989
2004 Q2,11662
2004 Q3,7923
2004 Q4,10557
2005 Q1,-5570
2005 Q2,10071
2005 Q3,5449
2005 Q4,11156
2006 Q1,-7558
2006 Q2,9232
2006 Q3,6550
2006 Q4,10461
2007 Q1,-11665
2007 Q2,10877
2007 Q3,6573
2007 Q4,12219
2008 Q1,-10958
2008 Q2,17013
2008 Q3,14968
2008 Q4,27337
2009 Q1,12215
2009 Q2,35170
2009 Q3,28511
2009 Q4,36063
2010 Q1,13262
2010 Q2,28883
2010 Q3,27364
2010 Q4,37114
2011 Q1,8630
2011 Q2,27053
2011 Q3,21735
2011 Q4,31243
2012 Q1,10567
2012 Q2,30521
2012 Q3,20932
2012 Q4,32491
2013 Q1,7673
2013 Q2,25306
2013 Q3,19401
2013 Q4,28023
2014 Q1,3674
2014 Q2,25261
2014 Q3,17740
2014 Q4,23685
2015 Q1,-5409
2015 Q2,20739
2015 Q3,14960
2015 Q4,21191
2016 Q1,-7635
2016 Q2,16879
2016 Q3,9767
2016 Q4,13163
2017 Q1,-21472
2017 Q2,16163
2017 Q3,4813
2017 Q4,8614
2018 Q1,-17076
2018 Q2,9941
2018 Q3,3756
2018 Q4,10306
2019 Q1,-26104
2019 Q2,15492
2019 Q3,3193
2019 Q4,15716
2020 Q1,-15782
2020 Q2,111001
2020 Q3,58000
2020 Q4,50674
2021 Q1,21070
2021 Q2,48645
2021 Q3,24271
2021 Q4,18483
2022 Q1,-18302
2022 Q2,33440
2022 Q3,15001
2022 Q4,41116
1997 APR,2965
1997 MAY,3150
1997 JUN,5064
1997 JUL,529
1997 AUG,2740
1997 SEP,2094
1997 OCT,-1689
1997 NOV,-2007
1997 DEC,711
1998 JAN,-8343
1998 FEB,-797
1998 MAR,1396
1998 APR,1917
1998 MAY,3958
1998 JUN,3381
1998 JUL,-2864
1998 AUG,1858
1998 SEP,1400
1998 OCT,-6777
1998 NOV,2626
1998 DEC,520
1999 JAN,-7794
1999 FEB,-3116
1999 MAR,-345
1999 APR,382
1999 MAY,3477
1999 JUN,2440
1999 JUL,-3622
1999 AUG,1289
1999 SEP,-201
1999 OCT,-7606
1999 NOV,1431
1999 DEC,1130
2000 JAN,-10667
2000 FEB,-2197
2000 MAR,-2456
2000 APR,-1071
2000 MAY,-650
2000 JUN,-1331
2000 JUL,-3402
2000 AUG,-1817
2000 SEP,625
2000 OCT,666
2000 NOV,901
2000 DEC,1265
2001 JAN,-8048
2001 FEB,-4898
2001 MAR,-2172
2001 APR,-1154
2001 MAY,672
2001 JUN,-350
2001 JUL,-2722
2001 AUG,-1717
2001 SEP,545
2001 OCT,2169
2001 NOV,2260
2001 DEC,2122
2002 JAN,-5152
2002 FEB,-1925
2002 MAR,-743
2002 APR,1778
2002 MAY,4100
2002 JUN,2191
2002 JUL,-1516
2002 AUG,1125
2002 SEP,3366
2002 OCT,2599
2002 NOV,3838
2002 DEC,3628
2003 JAN,-2194
2003 FEB,171
2003 MAR,-345
2003 APR,2354
2003 MAY,5005
2003 JUN,2999
2003 JUL,176
2003 AUG,2604
2003 SEP,4524
